,New Churn Category
1476,IS NULL
1477,IS NULL
1478,Client service
1479,IS NULL
1480,IS NULL
1481,Product quality
1482,Other
1483,IS NULL
1484,IS NULL
1485,IS NULL
1486,IS NULL
1487,IS NULL
1488,IS NULL
1489,IS NULL
1490,Other
1491,IS NULL
1492,IS NULL
1493,Competitor
1494,IS NULL
1495,IS NULL
1496,IS NULL
1497,Competitor
1498,Competitor
1499,Client service
1500,IS NULL
1501,IS NULL
1502,IS NULL
1503,IS NULL
1504,IS NULL
1505,IS NULL
1506,IS NULL
1507,IS NULL
1508,IS NULL
1509,IS NULL
1510,Other
1511,IS NULL
1512,IS NULL
1513,Price
1514,Price
1515,IS NULL
1516,IS NULL
1517,IS NULL
1518,IS NULL
1519,IS NULL
1520,IS NULL
1521,Client service
1522,IS NULL
1523,IS NULL
1524,IS NULL
1525,IS NULL
1526,IS NULL
1527,IS NULL
1528,Product quality
1529,IS NULL
1530,Client service
1531,IS NULL
1532,IS NULL
1533,Competitor
1534,IS NULL
1535,IS NULL
1536,IS NULL
1537,IS NULL
1538,Product quality
1539,IS NULL
1540,IS NULL
1541,IS NULL
1542,IS NULL
1543,IS NULL
1544,IS NULL
1545,IS NULL
1546,IS NULL
1547,IS NULL
1548,IS NULL
1549,Competitor
1550,IS NULL
1551,IS NULL
1552,Product quality
1553,IS NULL
1554,IS NULL
1555,IS NULL
1556,IS NULL
1557,IS NULL
1558,IS NULL
1559,Product quality
1560,IS NULL
1561,IS NULL
1562,IS NULL
1563,IS NULL
1564,IS NULL
1565,Competitor
1566,IS NULL
1567,IS NULL
1568,IS NULL
1569,IS NULL
1570,IS NULL
1571,IS NULL
1572,IS NULL
1573,IS NULL
1574,IS NULL
1575,IS NULL
1576,IS NULL
1577,IS NULL
1578,IS NULL
1579,Competitor
1580,IS NULL
1581,IS NULL
1582,IS NULL
1583,IS NULL
1584,IS NULL
1585,Client service
1586,Client service
1587,IS NULL
1588,IS NULL
1589,Client service
1590,IS NULL
1591,IS NULL
1592,IS NULL
1593,Other
1594,IS NULL
1595,IS NULL
1596,IS NULL
1597,IS NULL
1598,IS NULL
1599,IS NULL
1600,Product quality
1601,IS NULL
1602,Price
1603,IS NULL
1604,IS NULL
1605,IS NULL
1606,IS NULL
1607,IS NULL
1608,Other
1609,IS NULL
1610,IS NULL
1611,IS NULL
1612,IS NULL
1613,IS NULL
1614,IS NULL
1615,IS NULL
1616,Competitor
1617,IS NULL
1618,Competitor
1619,Competitor
1620,IS NULL
1621,IS NULL
1622,IS NULL
1623,Competitor
1624,IS NULL
1625,IS NULL
1626,IS NULL
1627,IS NULL
1628,Other
1629,IS NULL
1630,IS NULL
1631,IS NULL
1632,Other
1633,IS NULL
1634,IS NULL
1635,IS NULL
1636,IS NULL
1637,Competitor
1638,IS NULL
1639,IS NULL
1640,Competitor
1641,IS NULL
1642,Product quality
1643,IS NULL
1644,IS NULL
1645,IS NULL
1646,IS NULL
1647,Product quality
1648,IS NULL
1649,Other
1650,Client service
1651,IS NULL
1652,IS NULL
1653,IS NULL
1654,Other
1655,IS NULL
1656,IS NULL
1657,IS NULL
1658,Product quality
1659,Other
1660,IS NULL
1661,IS NULL
1662,IS NULL
1663,IS NULL
1664,IS NULL
1665,IS NULL
1666,IS NULL
1667,IS NULL
1668,Price
1669,IS NULL
1670,Other
1671,IS NULL
1672,IS NULL
1673,IS NULL
1674,IS NULL
1675,Client service
1676,Other
1677,IS NULL
1678,IS NULL
1679,IS NULL
1680,IS NULL
1681,IS NULL
1682,IS NULL
1683,IS NULL
1684,Product quality
1685,IS NULL
1686,IS NULL
1687,Client service
1688,IS NULL
1689,Competitor
1690,IS NULL
1691,IS NULL
1692,IS NULL
1693,IS NULL
1694,IS NULL
1695,Product quality
1696,Other
1697,IS NULL
1698,IS NULL
1699,IS NULL
1700,IS NULL
1701,Competitor
1702,IS NULL
1703,IS NULL
1704,IS NULL
1705,IS NULL
1706,Competitor
1707,IS NULL
1708,Client service
1709,Client service
1710,IS NULL
1711,Client service
1712,IS NULL
1713,IS NULL
1714,IS NULL
1715,IS NULL
1716,IS NULL
1717,IS NULL
1718,Client service
1719,Product quality
1720,IS NULL
1721,IS NULL
1722,IS NULL
1723,IS NULL
1724,Client service
1725,Price
1726,IS NULL
1727,IS NULL
1728,Competitor
1729,IS NULL
1730,IS NULL
1731,IS NULL
1732,IS NULL
1733,IS NULL
1734,IS NULL
1735,IS NULL
1736,IS NULL
1737,Competitor
1738,Competitor
1739,IS NULL
1740,Competitor
1741,IS NULL
1742,IS NULL
1743,IS NULL
1744,IS NULL
1745,IS NULL
1746,IS NULL
1747,IS NULL
1748,IS NULL
1749,IS NULL
1750,IS NULL
1751,IS NULL
1752,IS NULL
1753,IS NULL
1754,IS NULL
1755,Price
1756,Competitor
1757,Competitor
1758,IS NULL
1759,IS NULL
1760,Client service
1761,IS NULL
1762,IS NULL
1763,IS NULL
1764,IS NULL
1765,IS NULL
1766,IS NULL
1767,IS NULL
1768,IS NULL
1769,IS NULL
1770,IS NULL
1771,IS NULL
1772,IS NULL
1773,IS NULL
1774,Competitor
1775,IS NULL
1776,IS NULL
1777,IS NULL
1778,IS NULL
1779,IS NULL
1780,IS NULL
1781,IS NULL
1782,IS NULL
1783,Competitor
1784,IS NULL
1785,IS NULL
1786,Competitor
1787,Product quality
1788,IS NULL
1789,Price
1790,Product quality
1791,IS NULL
1792,IS NULL
1793,IS NULL
1794,Competitor
1795,IS NULL
1796,IS NULL
1797,IS NULL
1798,Product quality
1799,IS NULL
1800,IS NULL
1801,IS NULL
1802,Price
1803,Other
1804,Client service
1805,Price
1806,IS NULL
1807,IS NULL
1808,IS NULL
1809,IS NULL
1810,Price
1811,Client service
1812,IS NULL
1813,Product quality
1814,IS NULL
1815,IS NULL
1816,IS NULL
1817,IS NULL
1818,Product quality
1819,Product quality
1820,Price
1821,IS NULL
1822,Client service
1823,Competitor
1824,IS NULL
1825,IS NULL
1826,IS NULL
1827,IS NULL
1828,Price
1829,IS NULL
1830,IS NULL
1831,IS NULL
1832,Competitor
1833,Price
1834,IS NULL
1835,IS NULL
1836,IS NULL
1837,IS NULL
1838,IS NULL
1839,IS NULL
1840,IS NULL
1841,IS NULL
1842,IS NULL
1843,IS NULL
1844,IS NULL
1845,IS NULL
1846,IS NULL
1847,IS NULL
1848,Product quality
1849,IS NULL
1850,Competitor
1851,Competitor
1852,IS NULL
1853,IS NULL
1854,Competitor
1855,IS NULL
1856,IS NULL
1857,IS NULL
1858,IS NULL
1859,IS NULL
1860,Other
1861,IS NULL
1862,IS NULL
1863,IS NULL
1864,IS NULL
1865,IS NULL
1866,IS NULL
1867,IS NULL
1868,IS NULL
1869,IS NULL
1870,IS NULL
1871,Competitor
1872,IS NULL
1873,Price
1874,IS NULL
1875,Other
1876,Product quality
1877,Other
1878,IS NULL
1879,IS NULL
1880,Client service
1881,IS NULL
1882,IS NULL
1883,IS NULL
1884,IS NULL
1885,Product quality
1886,Client service
1887,IS NULL
1888,IS NULL
1889,IS NULL
1890,IS NULL
1891,IS NULL
1892,Price
1893,IS NULL
1894,IS NULL
1895,IS NULL
1896,IS NULL
1897,Competitor
1898,Competitor
1899,IS NULL
1900,Competitor
1901,IS NULL
1902,IS NULL
1903,IS NULL
1904,IS NULL
1905,Competitor
1906,IS NULL
1907,Competitor
1908,Competitor
1909,IS NULL
1910,IS NULL
1911,IS NULL
1912,IS NULL
1913,IS NULL
1914,IS NULL
1915,IS NULL
1916,IS NULL
1917,IS NULL
1918,IS NULL
1919,Price
1920,IS NULL
1921,IS NULL
1922,IS NULL
1923,IS NULL
1924,IS NULL
1925,IS NULL
1926,IS NULL
1927,IS NULL
1928,IS NULL
1929,IS NULL
1930,IS NULL
1931,IS NULL
1932,IS NULL
1933,IS NULL
1934,IS NULL
1935,Competitor
1936,IS NULL
1937,IS NULL
1938,IS NULL
1939,IS NULL
1940,Price
1941,IS NULL
1942,Client service
1943,IS NULL
1944,IS NULL
1945,IS NULL
1946,IS NULL
1947,IS NULL
1948,IS NULL
1949,IS NULL
1950,IS NULL
1951,IS NULL
1952,IS NULL
1953,IS NULL
1954,IS NULL
1955,IS NULL
1956,Competitor
1957,IS NULL
1958,Competitor
1959,Competitor
1960,Client service
1961,Competitor
1962,IS NULL
1963,Client service
1964,IS NULL
1965,Product quality
1966,Competitor
1967,IS NULL
1968,IS NULL
1969,IS NULL
1970,IS NULL
1971,IS NULL
1972,Price
1973,Product quality
1974,IS NULL
1975,Price
1976,Price
1977,IS NULL
1978,IS NULL
1979,IS NULL
1980,Competitor
1981,IS NULL
1982,Product quality
1983,IS NULL
1984,Product quality
1985,Competitor
1986,Client service
1987,Competitor
1988,IS NULL
1989,IS NULL
1990,Client service
1991,IS NULL
1992,IS NULL
1993,IS NULL
1994,IS NULL
1995,IS NULL
1996,IS NULL
1997,IS NULL
1998,Other
1999,IS NULL
2000,Client service
2001,IS NULL
2002,IS NULL
2003,Competitor
2004,IS NULL
2005,IS NULL
2006,Competitor
2007,IS NULL
2008,IS NULL
2009,Client service
2010,IS NULL
2011,IS NULL
2012,IS NULL
2013,IS NULL
2014,IS NULL
2015,IS NULL
2016,IS NULL
2017,IS NULL
2018,IS NULL
2019,Product quality
2020,IS NULL
2021,IS NULL
2022,Other
2023,IS NULL
2024,IS NULL
2025,IS NULL
2026,IS NULL
2027,IS NULL
2028,IS NULL
2029,IS NULL
2030,IS NULL
2031,IS NULL
2032,IS NULL
2033,Competitor
2034,Competitor
2035,Competitor
2036,IS NULL
2037,IS NULL
2038,IS NULL
2039,IS NULL
2040,Product quality
2041,IS NULL
2042,IS NULL
2043,IS NULL
2044,Product quality
2045,Competitor
2046,Competitor
2047,IS NULL
2048,Competitor
2049,Price
2050,Client service
2051,IS NULL
2052,Competitor
2053,IS NULL
2054,IS NULL
2055,IS NULL
2056,Product quality
2057,IS NULL
2058,IS NULL
2059,Competitor
2060,IS NULL
2061,Competitor
2062,IS NULL
2063,IS NULL
2064,IS NULL
2065,IS NULL
2066,IS NULL
2067,IS NULL
2068,IS NULL
2069,IS NULL
2070,Other
2071,Competitor
2072,Competitor
2073,Competitor
2074,IS NULL
2075,Product quality
2076,IS NULL
2077,IS NULL
2078,IS NULL
2079,IS NULL
2080,IS NULL
2081,IS NULL
2082,IS NULL
2083,IS NULL
2084,Competitor
2085,IS NULL
2086,IS NULL
2087,Other
2088,IS NULL
2089,IS NULL
2090,IS NULL
2091,Client service
2092,IS NULL
2093,IS NULL
2094,IS NULL
2095,Price
2096,IS NULL
2097,Product quality
2098,IS NULL
2099,Client service
2100,IS NULL
2101,IS NULL
2102,IS NULL
2103,IS NULL
2104,Client service
2105,IS NULL
2106,IS NULL
2107,Client service
2108,IS NULL
2109,IS NULL
2110,Other
2111,IS NULL
2112,Competitor
2113,IS NULL
2114,Product quality
2115,IS NULL
2116,IS NULL
2117,IS NULL
2118,IS NULL
2119,Competitor
2120,Competitor
2121,Competitor
2122,IS NULL
2123,IS NULL
2124,IS NULL
2125,IS NULL
2126,IS NULL
2127,IS NULL
2128,Competitor
2129,IS NULL
2130,IS NULL
2131,IS NULL
2132,IS NULL
2133,Competitor
2134,Competitor
2135,IS NULL
2136,Competitor
2137,IS NULL
2138,IS NULL
2139,Client service
2140,IS NULL
2141,IS NULL
2142,IS NULL
2143,Competitor
2144,IS NULL
2145,IS NULL
2146,IS NULL
2147,IS NULL
2148,IS NULL
2149,IS NULL
2150,IS NULL
2151,Client service
2152,IS NULL
2153,IS NULL
2154,IS NULL
2155,Competitor
2156,IS NULL
2157,IS NULL
2158,Product quality
2159,Competitor
2160,IS NULL
2161,IS NULL
2162,Client service
2163,Competitor
2164,IS NULL
2165,IS NULL
2166,IS NULL
2167,IS NULL
2168,Competitor
2169,Competitor
2170,IS NULL
2171,IS NULL
2172,Other
2173,Competitor
2174,IS NULL
2175,IS NULL
2176,IS NULL
2177,IS NULL
2178,IS NULL
2179,IS NULL
2180,IS NULL
2181,IS NULL
2182,IS NULL
2183,IS NULL
2184,IS NULL
2185,IS NULL
2186,Client service
2187,IS NULL
2188,IS NULL
2189,IS NULL
2190,IS NULL
2191,Client service
2192,Client service
2193,Competitor
2194,Competitor
2195,IS NULL
2196,IS NULL
2197,IS NULL
2198,IS NULL
2199,Competitor
2200,IS NULL
2201,IS NULL
2202,IS NULL
2203,Competitor
2204,IS NULL
2205,IS NULL
2206,IS NULL
2207,IS NULL
2208,IS NULL
2209,Competitor
2210,IS NULL
2211,Other
2212,IS NULL
2213,IS NULL
2214,IS NULL
2215,IS NULL
2216,IS NULL
2217,IS NULL
2218,IS NULL
2219,IS NULL
2220,Client service
2221,IS NULL
2222,Other
2223,IS NULL
2224,IS NULL
2225,IS NULL
2226,IS NULL
2227,Client service
2228,IS NULL
2229,IS NULL
2230,Competitor
2231,IS NULL
2232,IS NULL
2233,Competitor
2234,Competitor
2235,IS NULL
2236,IS NULL
2237,IS NULL
2238,IS NULL
2239,Competitor
2240,IS NULL
2241,IS NULL
2242,IS NULL
2243,IS NULL
2244,Client service
2245,Competitor
2246,IS NULL
2247,IS NULL
2248,Competitor
2249,IS NULL
2250,IS NULL
2251,IS NULL
2252,Competitor
2253,IS NULL
2254,IS NULL
2255,IS NULL
2256,Competitor
2257,IS NULL
2258,IS NULL
2259,IS NULL
2260,IS NULL
2261,IS NULL
2262,Product quality
2263,IS NULL
2264,Competitor
2265,Client service
2266,IS NULL
2267,IS NULL
2268,IS NULL
2269,Competitor
2270,IS NULL
2271,Client service
2272,IS NULL
2273,Competitor
2274,IS NULL
2275,IS NULL
2276,Competitor
2277,IS NULL
2278,IS NULL
2279,IS NULL
2280,IS NULL
2281,IS NULL
2282,Competitor
2283,IS NULL
2284,IS NULL
2285,IS NULL
2286,IS NULL
2287,IS NULL
2288,Other
2289,IS NULL
2290,IS NULL
2291,IS NULL
2292,Competitor
2293,IS NULL
2294,IS NULL
2295,IS NULL
2296,IS NULL
2297,IS NULL
2298,IS NULL
2299,IS NULL
2300,Other
2301,IS NULL
2302,IS NULL
2303,Client service
2304,IS NULL
2305,IS NULL
2306,IS NULL
2307,IS NULL
2308,IS NULL
2309,IS NULL
2310,IS NULL
2311,IS NULL
2312,IS NULL
2313,Competitor
2314,IS NULL
2315,Product quality
2316,IS NULL
2317,Competitor
2318,IS NULL
2319,IS NULL
2320,IS NULL
2321,Other
2322,Competitor
2323,IS NULL
2324,IS NULL
2325,IS NULL
2326,Product quality
2327,IS NULL
2328,Client service
2329,Competitor
2330,Competitor
2331,Product quality
2332,IS NULL
2333,IS NULL
2334,IS NULL
2335,IS NULL
2336,IS NULL
2337,Product quality
2338,IS NULL
2339,Price
2340,IS NULL
2341,IS NULL
2342,Price
2343,IS NULL
2344,IS NULL
2345,IS NULL
2346,IS NULL
2347,IS NULL
2348,IS NULL
2349,IS NULL
2350,IS NULL
2351,IS NULL
2352,IS NULL
2353,Product quality
2354,IS NULL
2355,IS NULL
2356,Competitor
2357,IS NULL
2358,IS NULL
2359,Product quality
2360,IS NULL
2361,IS NULL
2362,IS NULL
2363,Client service
2364,IS NULL
2365,Price
2366,IS NULL
2367,IS NULL
2368,Price
2369,IS NULL
2370,IS NULL
2371,Competitor
2372,IS NULL
2373,Client service
2374,IS NULL
2375,Competitor
2376,IS NULL
2377,IS NULL
2378,IS NULL
2379,IS NULL
2380,IS NULL
2381,IS NULL
2382,IS NULL
2383,IS NULL
2384,IS NULL
2385,IS NULL
2386,IS NULL
2387,Competitor
2388,IS NULL
2389,Client service
2390,IS NULL
2391,IS NULL
2392,IS NULL
2393,Client service
2394,IS NULL
2395,IS NULL
2396,Competitor
2397,Client service
2398,IS NULL
2399,IS NULL
2400,Price
2401,IS NULL
2402,IS NULL
2403,Competitor
2404,IS NULL
2405,IS NULL
2406,Product quality
2407,IS NULL
2408,IS NULL
2409,IS NULL
2410,IS NULL
2411,IS NULL
2412,IS NULL
2413,IS NULL
2414,IS NULL
2415,IS NULL
2416,IS NULL
2417,IS NULL
2418,IS NULL
2419,IS NULL
2420,IS NULL
2421,IS NULL
2422,IS NULL
2423,IS NULL
2424,IS NULL
2425,IS NULL
2426,IS NULL
2427,IS NULL
2428,Competitor
2429,IS NULL
2430,IS NULL
2431,IS NULL
2432,IS NULL
2433,IS NULL
2434,IS NULL
2435,IS NULL
2436,Client service
2437,IS NULL
2438,IS NULL
2439,Client service
2440,IS NULL
2441,IS NULL
2442,IS NULL
2443,Client service
2444,IS NULL
2445,Price
2446,IS NULL
2447,IS NULL
2448,IS NULL
2449,IS NULL
2450,IS NULL
2451,IS NULL
2452,IS NULL
2453,Product quality
2454,IS NULL
2455,IS NULL
2456,Competitor
2457,IS NULL
2458,IS NULL
2459,IS NULL
2460,Client service
2461,IS NULL
2462,IS NULL
2463,Competitor
2464,IS NULL
2465,IS NULL
2466,IS NULL
2467,IS NULL
2468,IS NULL
2469,IS NULL
2470,Competitor
2471,IS NULL
2472,IS NULL
2473,Competitor
2474,Product quality
2475,IS NULL
2476,IS NULL
2477,IS NULL
2478,IS NULL
2479,IS NULL
2480,IS NULL
2481,Price
2482,IS NULL
2483,Price
2484,IS NULL
2485,IS NULL
2486,IS NULL
2487,IS NULL
2488,Competitor
2489,IS NULL
2490,IS NULL
2491,IS NULL
2492,IS NULL
2493,IS NULL
2494,IS NULL
2495,IS NULL
2496,IS NULL
2497,IS NULL
2498,Client service
2499,IS NULL
2500,IS NULL
2501,IS NULL
2502,IS NULL
2503,IS NULL
2504,Competitor
2505,Competitor
2506,IS NULL
2507,IS NULL
2508,Client service
2509,IS NULL
2510,IS NULL
2511,IS NULL
2512,IS NULL
2513,IS NULL
2514,IS NULL
2515,IS NULL
2516,IS NULL
2517,Price
2518,IS NULL
2519,IS NULL
2520,IS NULL
2521,IS NULL
2522,IS NULL
2523,Competitor
2524,IS NULL
2525,IS NULL
2526,IS NULL
2527,IS NULL
2528,IS NULL
2529,Product quality
2530,IS NULL
2531,IS NULL
2532,Competitor
2533,Competitor
2534,IS NULL
2535,IS NULL
2536,IS NULL
2537,IS NULL
2538,IS NULL
2539,IS NULL
2540,IS NULL
2541,IS NULL
2542,IS NULL
2543,IS NULL
2544,Product quality
2545,IS NULL
2546,IS NULL
2547,Competitor
2548,IS NULL
2549,IS NULL
2550,IS NULL
2551,Client service
2552,IS NULL
2553,IS NULL
2554,IS NULL
2555,IS NULL
2556,IS NULL
2557,Competitor
2558,IS NULL
2559,Product quality
2560,IS NULL
2561,IS NULL
2562,Product quality
2563,IS NULL
2564,Competitor
2565,Price
2566,Client service
2567,IS NULL
2568,Competitor
2569,Competitor
2570,IS NULL
2571,IS NULL
2572,Client service
2573,Other
2574,IS NULL
2575,IS NULL
2576,IS NULL
2577,IS NULL
2578,Competitor
2579,Product quality
2580,IS NULL
2581,IS NULL
2582,IS NULL
2583,IS NULL
2584,IS NULL
2585,IS NULL
2586,IS NULL
2587,IS NULL
2588,IS NULL
2589,IS NULL
2590,Competitor
2591,IS NULL
2592,Price
2593,IS NULL
2594,Other
2595,Other
2596,IS NULL
2597,IS NULL
2598,Client service
2599,IS NULL
2600,IS NULL
2601,Competitor
2602,IS NULL
2603,IS NULL
2604,IS NULL
2605,IS NULL
2606,IS NULL
2607,IS NULL
2608,IS NULL
2609,IS NULL
2610,Client service
2611,IS NULL
2612,IS NULL
2613,Competitor
2614,IS NULL
2615,IS NULL
2616,IS NULL
2617,IS NULL
2618,IS NULL
2619,IS NULL
2620,IS NULL
2621,Competitor
2622,IS NULL
2623,IS NULL
2624,IS NULL
2625,IS NULL
2626,IS NULL
2627,Competitor
2628,IS NULL
2629,IS NULL
2630,IS NULL
2631,IS NULL
2632,Product quality
2633,IS NULL
2634,Competitor
2635,IS NULL
2636,Other
2637,IS NULL
2638,IS NULL
2639,Competitor
2640,IS NULL
2641,Product quality
2642,Client service
2643,Competitor
2644,IS NULL
2645,Other
2646,IS NULL
2647,IS NULL
2648,Competitor
2649,IS NULL
2650,Competitor
2651,IS NULL
2652,Product quality
2653,IS NULL
2654,IS NULL
2655,IS NULL
2656,IS NULL
2657,Product quality
2658,IS NULL
2659,IS NULL
2660,IS NULL
2661,IS NULL
2662,IS NULL
2663,IS NULL
2664,IS NULL
2665,IS NULL
2666,IS NULL
2667,Client service
2668,Competitor
2669,IS NULL
2670,IS NULL
2671,IS NULL
2672,IS NULL
2673,IS NULL
2674,Price
2675,IS NULL
2676,Client service
2677,IS NULL
2678,Competitor
2679,Client service
2680,Price
2681,Client service
2682,IS NULL
2683,IS NULL
2684,IS NULL
2685,IS NULL
2686,IS NULL
2687,IS NULL
2688,Competitor
2689,IS NULL
2690,IS NULL
2691,Product quality
2692,Competitor
2693,IS NULL
2694,IS NULL
2695,IS NULL
2696,Client service
2697,IS NULL
2698,Competitor
2699,IS NULL
2700,IS NULL
2701,Competitor
2702,IS NULL
2703,IS NULL
2704,IS NULL
2705,IS NULL
2706,IS NULL
2707,IS NULL
2708,IS NULL
2709,Competitor
2710,IS NULL
2711,Competitor
2712,Competitor
2713,IS NULL
2714,IS NULL
2715,IS NULL
2716,IS NULL
2717,IS NULL
2718,Client service
2719,Competitor
2720,IS NULL
2721,Other
2722,IS NULL
2723,IS NULL
2724,Competitor
2725,Client service
2726,IS NULL
2727,IS NULL
2728,Client service
2729,IS NULL
2730,Competitor
2731,IS NULL
2732,IS NULL
2733,IS NULL
2734,IS NULL
2735,Product quality
2736,IS NULL
2737,IS NULL
2738,IS NULL
2739,IS NULL
2740,IS NULL
2741,IS NULL
2742,Client service
2743,Product quality
2744,IS NULL
2745,IS NULL
2746,Competitor
2747,IS NULL
2748,IS NULL
2749,IS NULL
2750,IS NULL
2751,IS NULL
2752,IS NULL
2753,IS NULL
2754,IS NULL
2755,IS NULL
2756,Client service
2757,Other
2758,IS NULL
2759,Other
2760,IS NULL
2761,Product quality
2762,IS NULL
2763,IS NULL
2764,Product quality
2765,IS NULL
2766,IS NULL
2767,IS NULL
2768,IS NULL
2769,Other
2770,Price
2771,IS NULL
2772,Client service
2773,IS NULL
2774,IS NULL
2775,Other
2776,IS NULL
2777,IS NULL
2778,IS NULL
2779,IS NULL
2780,IS NULL
2781,IS NULL
2782,Competitor
2783,IS NULL
2784,IS NULL
2785,IS NULL
2786,IS NULL
2787,IS NULL
2788,IS NULL
2789,IS NULL
2790,IS NULL
2791,IS NULL
2792,IS NULL
2793,Competitor
2794,IS NULL
2795,IS NULL
2796,IS NULL
2797,IS NULL
2798,IS NULL
2799,IS NULL
2800,IS NULL
2801,Competitor
2802,IS NULL
2803,IS NULL
2804,Client service
2805,Competitor
2806,Competitor
2807,IS NULL
2808,IS NULL
2809,Product quality
2810,IS NULL
2811,IS NULL
2812,IS NULL
2813,IS NULL
2814,IS NULL
2815,IS NULL
2816,IS NULL
2817,IS NULL
2818,Competitor
2819,IS NULL
2820,IS NULL
2821,IS NULL
2822,IS NULL
2823,IS NULL
2824,Competitor
2825,Competitor
2826,IS NULL
2827,IS NULL
2828,IS NULL
2829,IS NULL
2830,Client service
2831,IS NULL
2832,IS NULL
2833,IS NULL
2834,IS NULL
2835,Product quality
2836,IS NULL
2837,Price
2838,IS NULL
2839,IS NULL
2840,IS NULL
2841,IS NULL
2842,IS NULL
2843,IS NULL
2844,IS NULL
2845,IS NULL
2846,IS NULL
2847,IS NULL
2848,IS NULL
2849,IS NULL
2850,IS NULL
2851,IS NULL
2852,IS NULL
2853,Product quality
2854,IS NULL
2855,IS NULL
2856,Product quality
2857,IS NULL
2858,Price
2859,IS NULL
2860,IS NULL
2861,IS NULL
2862,IS NULL
2863,Other
